facultad,latitude,longitude
UBA CBC Montes de Oca,-34.641005,-58.373735
UBA Ciudad Universitaria,-34.542000, -58.444472
UBA Cbc Drago,-34.567894, -58.478450
UBA Cbc Puan,-34.606022, -58.432290
UBA Cbc Lugano,-34.679251, -58.465450
UBA Cbc Paternal,-34.595988, -58.483060
UBA Facultad de agronomia,-34.593629, -58.483789
UBA Facultad de economicas,-34.600114, -58.398704
UBA Facultad de medicina,-34.599425, -58.398103
UBA Facultad de ciencias veterinarias,-34.594272, -58.478684
UBA Facultad de derecho,-34.582622, -58.391917
UBA Facultad de ingenieria (Paseo colon),-34.617512, -58.368424
UBA Facultad de ingenieria (Las Heras),-34.588409, -58.396267
UBA Facultad de psicologia,-34.612152, -58.412422
Universidad de la Defensa Nacional,-34.605029, -58.376742
UTN sede Medrano,-34.598490, -58.420318
Universidad Nacional Arturo Jauretche,-34.595748, -58.389860
IUPFA,-34.619432, -58.436241
FLACSO,-34.602101, -58.395108
IESE,-34.574561, -58.436389
INUN,-34.594135, -58.369573
Instituto Universitario de Gendarmería Nacional,-34.614236, -58.369483
UNA,-34.594691, -58.399738
UNTREF,-34.601624, -58.528182
UNSAM,-34.551421, -58.441638
UNLU,-34.600100, -58.406272